# ARM64 retained root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkFieldSquareN-16    	 1784499	       672.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1756185	       714.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1481664	       793.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldSquareN-16    	 1560532	       781.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  357259	      3209 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  374056	      3063 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  396720	      3005 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  364382	      3014 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  400611	      3031 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  403584	      2982 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  402801	      3002 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  368154	      3053 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  376971	      3033 ns/op	       0 B/op	       0 allocs/op
BenchmarkFieldInv-16        	  402716	      2990 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/islishude/secp256k1/internal/field	59.295s

# ARM64 retained scalar microbenchmarks

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1/internal/scalar
cpu: Apple M3 Max
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquare-16     	100000000	        10.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1420951	       844.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1420303	       844.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1419900	       844.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1422030	       843.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1421848	       843.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1420885	       844.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1409022	       850.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1416638	       846.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1417783	       845.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarSquareN-16    	 1421653	       843.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  279837	      4247 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282723	      4248 ns/op	       0 B/op	       0 allocs/op
BenchmarkScalarInv-16        	  282492	      4247 ns/op	       0 B/op	       0 allocs/op
